,full_text
11184,"Its very unfortunate that the BJP government misusing our armed services for political gains. Which is alarming and extremely dangerous for the people, region and the world. #GoBackModi https://t.co/QpGoE6ILfT"
11190,How much restrictive abortion legislation did the Republican 115th Congress deliver to the Republican president to sign? https://t.co/rDGFn8X9a2
11192,"Modi government has brought the 10% reservation quota for the economically weaker sections of the general category without altering the existing reservation system in the country.

Namumkin Ab Mumkin Hai! https://t.co/Z9OHW10Bze"
11193,"Tbh I have many indian friends and when I talked with them about this their only response was 'k koi jaa k Modi k sar py bomb phor dy.' There are many indians who want peace but their leaders, well they are doing the opposite and spreading hate continously.

#PakistanWantsPeace"
11195,"/National Platform for the Rights of the Disabled (NPRD) condemns disrespectful &amp; insensitive remarks made by PM Narendra Modi during an interaction with students at Smart India Hackathon 2019 organised by India Institute of Technology (IIT) Roorkee/
https://t.co/QXwLAA3r6f https://t.co/J1CTPp4iaO"
11196,"Modi always lies... He accepted his defeat... 
#PakistanZindabad
#CowardModiSpreadingLies https://t.co/A0ITCujXLQ"
11199,"WATCH: PM Modi's high praise for Smriti Irani in Amethi; says 'despite losing she's worked harder than the one who won' slamming Rahul Gandhi

https://t.co/65jDYtTku1"
11200,"Welcome to #NewIndia !!!
Here even kids are injected with Hatredness, communal bigotry..  

Congrats to #BJP #Modi #BazaruMedia's https://t.co/VuYiNoHQan"
11202,"@salman7khurshid Many kudos to my pm modi who has actually destroyed the dynast culture ,who not only kept looting the nation,but also has made our country their political survival ground. The UPA has no work done than being Bootlickers of 10JP and the destroyers Dynast.we hate them Mr.khurshid"
11203,Tremors in TMC - Its just a matter of time now that BJP would form a progressive govt in WestBengal by defeating the regressive TMC
11204,"According to google, Modi is the most stupid PM ðŸ˜‚ https://t.co/2Txj6ZgIWf"
11209,@PunamIndian @akmpnm2004 @manmohan16 @kayjay34350 @WoodCheat @sandythapar @ChatyTheCheetah @vigoDoon @Warrior_Mukul @DefenceMinIndia @nsitharaman @PIB_India @adgpi @IAF_MCC @indiannavy @SpokespersonMoD @HQ_IDS_India @BrigMahalingam @kakar_harsha @SinghNavdeep @vikramwkarve @Jaykaul @PashaSehgal @jessisajan @bsrangi @cmseth1 @just_1_singh @MajorPoonia @Neeraj7888 @SmritiRDas1 @DrSubhashMoS @tksapru @GenKumar @ArunBajpai @SushilBhasin @BJP4India @PMOIndia @narendramodi @ColTekpal @ColCharanjit @ajitbhinder @Col_Bharat @MajDPSingh @rwac48 @ashokkmrsingh @rajeev_mp @nylalsingh @BKanad @narry13 @KatochPrakash 3/4 Our GDP is 9 times..every yr we r adding one Pak to our economy..still Pak Army continues 2show eyes 2us..because we have failed our AF in capability development..budgetary support has been falling..reaching lowest since 1962..status of Soldiers being continuously degraded.. https://t.co/yrUxQseqDJ
11210,"President Putin's message marking the launch of a Russian-Indian joint venture for Kalashnikov assault rifle production
https://t.co/4hdreg0Kyn

via NaMo App https://t.co/b1TJObRjHK"
11211,"Doles and deals harmed Indiaâ€™s development journey: PM Modi takes a dig on Congress 
https://t.co/ptqsDirKcE

via NaMo App https://t.co/d64FHbfnrV"
11215,check out this fecking mad muslim lunatic that now inhabits Congress https://t.co/HgcScTdBUs
11216,"In a bid to establish Hindutva supremacy, Modi Sarkar would've only ended up weakening the nation. This isn't without precedent. Take Serbia"
11217,"@PunamIndian @akmpnm2004 @manmohan16 @kayjay34350 @WoodCheat @sandythapar @ChatyTheCheetah @vigoDoon @Warrior_Mukul @DefenceMinIndia @nsitharaman @PIB_India @adgpi @IAF_MCC @indiannavy @SpokespersonMoD @HQ_IDS_India @BrigMahalingam @kakar_harsha @SinghNavdeep @vikramwkarve @Jaykaul @PashaSehgal @jessisajan @bsrangi @cmseth1 @just_1_singh @MajorPoonia @Neeraj7888 @SmritiRDas1 @DrSubhashMoS @tksapru @GenKumar @ArunBajpai @SushilBhasin @BJP4India @PMOIndia @narendramodi @ColTekpal @ColCharanjit @ajitbhinder @Col_Bharat @MajDPSingh @rwac48 @ashokkmrsingh @rajeev_mp @nylalsingh #Surgicalstrike2
1/3 While Wg Cdr Abhinandan returns home to Heroâ€™s welcome &amp; Govt plans to de-escalate..time to carry out some introspection. Govt has shown remarkable will &amp; resolve..need to maint synchronised pressure..Pak Army has to be made to bear d cost of waging proxy war https://t.co/A976wJcAcy"
11219,A bad carpenter always blames his tools. @narendramodi ji war is won by passion and #josh. Not by #Mig or #Rafale planes âœˆï¸.
11227,"Attacks and assaults on BJP Karyakartas are alarmingly on the rise. Recently, internal factionalism within TMC in Chakda led to the death of a party worker. However, this incident was misconstrued and misused to attack BJP Karyakartas assaulting them and vandalising their houses https://t.co/QIT5KdZmDS"
11229,"How Our PM troll pappu @RahulGandhi  with swag at Hackathon 2019 ðŸ˜‚ðŸ˜‚
Girl: Sir we have made an app for children suffering from dyslexia who are unable to read&amp;write and there mental efficiency is low.
Modi ji: Will it help children of age 40-50?
#PakistanJihad
#ModiAtConclave19 https://t.co/p0NNnoa6WT"
11234,"Just to attack RG and Sonia: 

Girl : basically our idea is based on dyslexic children. Dyslexic children are those..... 
Modi : So, will this project work for 40 - 50 years old child?
Girl: Yes. 
Modi:  Then,  his mother will be very happy. https://t.co/EE1CtqqXPm"
11238,"Butcher Modi would have killed more innocent people and he would be happy with that, this time just one person was hurt. 
He's teaching lies to the whole world and kept his mouth shut about the genocide his forces are doing in Kashmir.
#CowardModiSpreadingLies https://t.co/CLJzNBYO67"
11239,"@Rajesh201963 @sampadscales Mamata implemented her own version of Indian constitution in WB, where people of India means TMC cadre &amp; Supporters only. Shame ðŸ‘Ž"
11245,Right .Govt should ban Rahul Gandhi  for doing politics lifetime at earliest . Jay Hind Jay Bharat . https://t.co/QSziI7sHcQ
11247,"ðŸ‘‰A BJP spokesperson @TajinderBagga sir has filed a sedition complaint against PDP chief &amp; former J&amp;K CM Mehbooba Mufti
He has written complaint to DCP Delhi Police demanding registration of FIR against Her â€œAnti-National remarks that amount to Seditionâ€
#CongressPakistanUnited https://t.co/YwJYA8xlCa"
11249,"I dont care if Masood Azhar is dead or alive. Pakistan should declare him dead. Will end the Indian excuses and policy of blaming home grown Kashmiri resistance on Pakistan. We have outplayed Modi since Pulwama attack, no need to stop now. #MasoodAzhar #MasoodAzharDEAD https://t.co/9QkDczkg7f"
11252,"I was born during Congress era, went through emergency, riots, worlds biggest terrorist attacks, our religion shown as terrorism,  mandal and many such more difficulties. Thanks to Congress. https://t.co/wZAcpPCAAq"
11257,"@AOC It just goes to show how much they fear you, otherwise they would ignore you! I have never seen the press go after a 'freshman' (woman) in congress, so hard and in unison with all the other hypocritical Media!"
11260,"A Shameless Child of 48 years of age teaching \shame\"" to Modi ji https://t.co/0lnJKGPsKT"""
11263,Apparently Muslims escaping Hindutva terror was a bad thing fro him. These extremists murdered Gandhi for not being anti-Muslim enough. I respect those Muslims who stayed back or opposed creation of Pakistan but to reduce the idea of Pakistan to naming differences is cruel.
11265,Insulting the dyslexic then comparing them to @RahulGandhi whose education happened at top universities under the most threatening security climate as he lost both grandmother &amp; father but still persevered to complete the same to #modi who well.What can one say #BJP_à¤­à¤—à¤¾à¤“_à¤¦à¥‡à¤¶_à¤¬à¤šà¤¾à¤“ https://t.co/tlDtNdcH3K
11267,"@frdsforever @Nidhi https://t.co/zOn2YYFcUu

Any comments on this bhakto. Now ur centre minister raising questions itself ki Kitne mare air strike mei idea nai. Mare ya nai Iska b idea nai ðŸ˜‚ðŸ˜‚ ye bjp bhi ab anti national hogi bhakto Pher tumhare hisab se. #feku #andhbhakt #ChowkidarChorHai https://t.co/REQOPUwMrA"
11269,"Modi is chanting war war. 
Just to get votes. 
#CowardModiSpreadingLies https://t.co/e4xtjqklhw"
11270,"We are with you till you hang your boots! Many terrorist supporters are in India, how about an Internal Surgical Strike? its long overdue! @narendramodi ji it's time to throw cong led terrorist supporters in jail. Pls know, they dont hate you, they hate your guts, they fear you. https://t.co/mMaADW5A4a"
11271,"@INCIndia How many times did the Rahul &amp; Priyanka visit the family of Pulwama martyrs? Also tell us why wasn't there any attack on Pakistan after 26/11? Ohh i forgot, Rahul was so busy partying that he must have forgot."
11272,"Jama'at-e-Islami, Jammu and Kashmir in a statement has accused Indian television channels of indulging in \negative propaganda against the socio-religious party at the behest of RSS and BJP.\"" It said the propaganda on Indian channels has no factual basis. It is sheer vengeance."""
11273,"#CowardModiSpreadingLies Liar
@narendramodi is exposed. His thirst of blood for his political  career has been exposed.
When whole region is talking about peace modi is glorifying war for win in elections. https://t.co/pnaYZ2hw5G"
11275,"MODI's Surgical strike was humiliation for india  where it lost two fighters jets and one helicopter along with the crew members !!!,

#CowardModiSpreadingLies https://t.co/zflq4PDZQm"
11280,"@sagarikaghose @BJP4India @IndianExpress How much you getting paid by Underworld , Congress n Terrorist ISIS group for Hate spreading against India ????

Hope for handsome money only Anti_Nation can perform job like you type Nautankibaz , money maker journalist"
11283,"Indeed. EXTREMELY important for us to understand the DIFFERENCE between 3000-year old #Hinduism &amp; 100-year old fascist CRIMINAL cult, #Hindutva - the latter gave rise to the war-mongering mindset that #Modi &amp; his likes seek inspiration from. ðŸ™ˆ #ModiEkDisaster https://t.co/AXPbs7M422"
11284,"BJP spokesperson @sambitswaraj slammed for allegedly peddling fake news on air strikes.
#RespectForces
 https://t.co/INmYImNMh0"
11286,Our national parks make a major contribution to local economiesâ€”visitors spent $18 billion in gateway communities last year.  Itâ€™s critical that Congress votes to #FixOurParks. https://t.co/P39wIIxl9Q
11288,BJP Leaders Exposing Attack On Pakistan - Politics https://t.co/AzGlOSXi8G
11289,"Peace and War never go together! With Modi's war mongering their can never be peace! 

#ModiMisleadingIndians #AbhiReleasedNowFreeIOK #Ù…ÙˆØ¯ÛŒ_Ø¯ÛØ´ØªÚ¯Ø±Ø¯_ÛÛ’ #IndianMediaExposed #KashmirBleeds #Kotli https://t.co/Mg1kkUB2O8"
11293,Sign a Petition to Declare Narendra Modi as a Global Terrorist https://t.co/3mGL18vmhM via @Change
11297,#CowardModiSpreadingLies ðŸ‡®ðŸ‡³ Today we gona expose Modi's lies factory after Pulwama drama  PAF strike back https://t.co/txDpYeANi8
11299,"@rahulkanwal @narendramodi What the Country is missing is Political Will for full scale war against #Pakistan or Strategic Military Action outlined by @rwac48 Sir. We didn't have #Rafale in 65, 71, 99.
PM needs to read actual stories behind PVC, VC, AVSM, SM to learn Josh of #IndianArmedForces.
@Vedmalik1"
11303,"@Kkzahu Saluti you can read it here: Thread by @cjcmichel: \NEW: The World Congress of Families, an anti-LGBTQ hate group close to a number of sanctioned Russian oligarchs, is host [â€¦]\"" https://t.co/dJFw82Fkdg"
11305,"Only Islamic Republic of Pakistan &amp; @INCIndia

1. Seek- Proof of Air Strike on Terrorist
2. Claim- Indian Air Force cud destroy only trees
3. Say- World media doubt India's Claim
4. Assert- Indian Air Force is lying

Its clear, Pak is embarrassed but What's wrong with Cong?"
11308,Train Fire Recreated for Narendra Modi Biopic But Godhra Questions Remain https://t.co/HKBWnL0l3y
11312,"Indian Media is now getting back to senses. Modi in trouble after rising voices demanding proofs...!! ANY?? Watch the Clip.
#FaislaAapKa Aaj News Live https://t.co/RT3p2T6ADd"
11315,You can hide your fake degree cerfticates but you can't hide your illiteracy ~ Narendra Damodardas Modi.
11317,I thought that Nawaz Sharif was the dumbest PM of all time but Modi Proved us all Wrong.
11320,"The RSS and BJP want to change the Constitution, the National Flag, the National Anthem and the very idea of India itself. We must confront them in all fronts ideological,political, and organisational in particular.
#RSS #BJP
#FactsMatter https://t.co/FNdDTYkyg0"
11322,Sycophants can ruin capable people for their own selfish interests under the guise of defending the leader. Why would anyone try to insinuate that  Chamisa is under any threats of losing the  MDCA presidency at the coming congress? Chamisa is far popular than anyone in the party
11326,"@budhwardee @ISNTiwari Narendra modi  speaks only fake  bluff &amp;  propaganda, &amp; false hood."
11328,"Reflect for a moment. Internal Modi haters, gv statements which Pakistan has grabbed like bonanza of 72 hoors!
From their Parliament to media all r showing statements of our side rabid &amp; incurable Modi-haters.
Little do they all realize the impact of these blunders on Elections!"
11329,"Before #2014 werent the likes of this #Presstitute also self-styled atom bombs? 

What happened? Only atom atom now? Bomb is bombed na? 

So just have some patience if your atom is separated out from the bomb you were, #Pakistan is much dumber than you! @narendramodi #Bharosa! https://t.co/M2U8qspXSg"
11330,"Total terrorists killed.. 
Republic TV 400
Aaj tak 350
Other Channels 300
Amit shah 250
Modi 200
Air Force - we dont have exact figure"
11332,"Maduro: for years carefully &amp; bravely doing everything possible to avoid a situation where the US succeeds in sowing reaction &amp; open war in Venezuela
Fake 'anti-war' DSA congress-guy: \if we invade &amp; completely destroy Venezuela, Maduro would be happy actually\"" https://t.co/DLzRLrbqHi"""
11334,"I am surprised left lib team from India hasn't visited Balakot yet to prove Modi wrong. Otherwise, they're rushing off at the drop of a hat to ask the Pakis for help to get rid of Modi."
11335,Air Chief Marshal Dhanoa says IAF can not count the number of people dead in the Balakot airstrike but @AmitShah says 250 terrorists were killed ? Where did the BJP President get these numbers from he must explain ? https://t.co/U6QWErqycE
11341,In fact tweets which make death calls for @narendramodi is immediately give blur certified tick immediately by @TwitterIndia @Twitter @jack https://t.co/V96PXYCUQ0
11342,"@AndrewYangVFA Practical reason # 1: â€œWe The people are the rightful masters of both Congress and the Courts, not to overthrow the Constitition but to overthrow the men who would pervert the Constitution.\ - Abraham Lincoln"""
11345,"Historic fraud on Constitution of India by @narendramodi government.

@nitinmeshram_  @ratanlal72 @WamanCMeshram @DrJaihind  @dilipmandal
 #5MarchBharatBandh
#à¤¸à¤‚à¤µà¤¿à¤§à¤¾à¤¨_à¤¬à¤šà¤¾à¤“_à¤¸à¤‚à¤˜à¤°à¥à¤·_à¤¸à¤®à¤¿à¤¤à¤¿ https://t.co/MAwoOSqZvA"
11346,PM Modi and Nitish kumar CM along with his minister fail to pay homage to army soldier in Patna who sacrificed his life in J&amp;k fighting militants as they were busy shamelessly addressing a Public Rally. BJP real face has been unmasked in Bihar.
11347,Pandit Nehru and Sardar Patel telling Mahatma Gandhi that somehow we managed to make Kashmir a part of India but this guy formed Government in Center &amp; Kashmir and ruined Everything. (2019) https://t.co/6g2gCMQ3BW
11348,"POC (Pak Occupied Indian Congress) or POAAP (Pak Occupied Aaam Aadmi Party), the list is endless. We Indians should focus on constructive issues &amp; leave these morons on their own. All that we Indians want is #FinalStrike to #FreeBalochistan &amp; put a full stop to this terrorhouse"
11350,"As Ilhan Omar endures anti-Muslim racism, most lawmakers in Congress remain silent https://t.co/ENMYCoWMQu https://t.co/ZMdFkUOSLl"
11351,"@RonColeman 

they should BleachBit. Say hard drives lost. Answer every question â€œI donâ€™t recallâ€ Loretta Lynch, Hillary, Comey Style. Or just be in Contempt of Congress. Holder Style. We have learned from the best.

https://t.co/Ns9adGdYry"
11352,"@OpIndia_com And they blame Modi destroyed institutions.India can not progress untill it becomes \Congress Mukt\""."""
11354,"You could have directly name @narendramodi for Nobel Peace Prize 2021.ðŸ˜Šâ€ƒ
Kashmir problem will be solved by then. Peace and Humanity will prevail over the reign of terror in the Kashmir valley. https://t.co/I3HNBDOs6y"
11355,"UPA govt alleged that #AjmalKasab was hanged on Nov21,2012. Congress had not given any proof to nation that Kasab was actually hanged.Soft corner of Congress towards terrorists is well known. #StopStrikePolitics"
11359,Opposition parties if critising Air Strikes are not justified in their stand... That is highly objectionable.. AIR Strikes were required and have had desired impact.. However they hv full right to criticise BJP if it is using Air Politics for party politics And they are doing it
11360,"PM #Modi cracks a crude joke about dyslexia &amp; then vulgarly laughs at it.

In the past, he has mocked the pain of parents losing a child by saying that they forget the child in a year.

Is there no limit to this man's insensitivity?

#BiharRejectsModi 
#ModInAmethi https://t.co/hWcXYt8dHV"
11363,"I request everyone to overlook or even oppose the congress or anyone  who asks for air strike's proofs.
they actually want to expose our secret agents/resources to Enemy. Congress and left is a serious danger to BHARAT #CongressPakistanBhaiBhai #CongressPakistanUnited https://t.co/BHvttlJQd9"
11366,"Fakery &amp; falsehood have become the style of BJP Spokespersons!

Modiji downwards, they all believe in manfacturing falsehood to dupe and deceive.

Present is a classic instance of perpetuating untruth! https://t.co/McEC99trYV"
11367,"@HamidMirPAK @SMQureshiPTI Our @PMOIndia @narendramodi msg to #Pakistan &amp; PM @ImranKhanPTI one more attack on Bharat &amp; Pakistan will bleed ðŸ™ 
#GujaratSaysNaMoAgain https://t.co/5iz6TwqxNI"
11368,"Big breaking from #JammuCity
PM @narendramodi 's #SurgicalStrike against #Jihad continues unabated. 
\4 top #Jamaatis arrested\""."
11373,"Was Told Two Years Ago About a War Before General Polls, Says Pawan Kalyan. #PawanKalyan #Janasena #AndhraPradesh #Elections2019 #BJP #Pawan  https://t.co/z5NwDNHoGg"
11375,"(1/2) Democracy in Bengal has been endangered today, as has been in the past. TMC goons attacked BJP's peaceful #VijaySankalpaRally leaving many bikers injured and WB police did nothing to prevent it. 

#BJPVijaySankalpBikeRally @BJYM @bjymwb https://t.co/LLQDmmwhSn"
11377,"Tell Modi to ask that to Saudi prince. He has advised Modi:

1) To talk to Pak

2) Forget about war, not to mention Jaish/Azhar Masood (check govt statements)

3)Go to UN with 'evidence'

He didn't say this to Pak &amp; Modi hugged him.

OIC said 'Indian terrorism'. What did Feku do? https://t.co/Djjk4mpnQG"
11380,You can achieve that by resigning and dissolving BJP. https://t.co/LDk03CAj9G
11384,"Andhra Pradesh Chief Minister Chandrababu Naidu wore a black shirt to protest against Prime Minister Narendra Modi's visit to Visakhapatnam over the alleged unfulfilled promises by the Centre in the Andhra Pradesh Reorganisation Act 2014.
https://t.co/SNHYz8lRmH"
11387,"ADMK Alliance:
1. PMK - 7
2. BJP - 5
3. PT - 1
4. PNT - 1 (Two leaves symbol)
5. NRC - 1

Balance - 25
DMDK demands 5-7
TMC??? After that ADMK. Present MP's ? EPS is a Rajathanthiri? 

#ADMKFails #ADMKAlliance #ADMK"
11389,"@republic @iampankajsjain How come BJP doesn't object to Modi's National Security Advisor Ajit Doval's son having a Pakistani business partner?

How did the government let officers of Pakistan's ISI \which is known to be sheltering terrorists\"" access to strategic Air Force base in Pathankot?"
11392,PM Modi and HM Rajnath should should tell the nation that how 350 kg RDX was loaded in the vehicle driven by terrorist on main highway without any check by security and intelligence agencies.? Why were  CRPF jawans not provided airlifting facility by NDA Government?
11393,"#AirForceVsDoubters: When Congress leaders said Indira Gandhi ne Pakistan ke 2 tukde kiye then where were these questions and they are questioning Air Force. They called the Surgical Strike- Fargical Strike. NTRO has confirmed:  @Shehzad_Ind, Lawyer https://t.co/YnpEWIuToJ"
11394,"TOUGH POLL

Which of the two channels use the Armed Forces more for promoting BJP and attacking Congress ? 

 #StopStrikePolitics
#AirForceVsDoubters

Please Vote &amp; RT ðŸ˜Ž"
11396,"I strongly condemn the cowardly act of murder of two youth congress workers from Kasargod, this is a very sad event for us all &amp; we stand by the  families of the victims. #CPMTerror"
11398,We all tribals are demanding that the Centre bring an ordinance to ensure our rights are protected. We have called for a peaceful #5MarchBharatband Nobody can make us homeless - fight for life fight for home #Tribals #SaveAdivasiRights #India @narendramodi @RahulGandhi
11401,"â€œI can't vote to give the president the power to spend money that hasn't been appropriated by Congress,\ Paul said.â€If we take away those checks and balances, it's a dangerous thing.\"""
11402,"Modi targets illiteracy,congress is hurt.
Modi targets poverty,congress is hurt.
Modi targets casteism,congress is hurt.
Modi targets corruption,congress hurt.
Modi targets dynasty,congress is hurt.
Modi targets rohingyas,congress is hurt.
Modi targets terrorism,congress is hurt. https://t.co/gzxSsioZqT"
11403,World Congress supports Malaysian govt's courage to abolish death penalty https://t.co/HrFke18je3 via @staronline
11405,"@shahid_siddiqui Shahid Siddiqui, u were suffering from this pain for last 25yrs before Modi came bt never WISHED Manmohan to understand the pain!

Or u were not in pain at all before Modi came?

Or u dont feel 'better person' anymore everymorning?

Another VICTIM CARD!

May God bless ur daughter"
11408,"What do Netanyahu and Modi have in common? Muslim hatred and exaggerated claims of attacks on them. Could Israel have been behind a false flag Pulwama attack so India can wage war, buy arms from Israel and win votes? 
https://t.co/W2H5r6dELJ"
11411,"@Rishu02867725 @sweposten @scrapravi @KPadmaRani1 @Tamil1947 @mujworld @SubshriS @RahulGandhi @AnthonySald @INCIndia @SimmiAhuja_ @priyankac19 @geetv79 @Mayavi101 @INCTharoorian @priyapyadav18 @Luv_Datta @RanjitOne @HaftaWasooli @joerave @terence_fdes @rkhuria @JantaKaReporter 1)This is just my point,without completing your investigation &amp; one person across the border claims responsibility u fix the blame on him &amp; attack

I trust u know that if any Terrorist organisation when it claims responsibility, it does to create an image to get donations+ https://t.co/IBw42ax56v"
11412,"Modi brought Abhinandan in 54 Hours

Congress couldnt get 54 PoW's back frm Pak during 1971 war even aft returning them 93000 Paki PoW's

Thats how little  Congress cared for Indian Forces

Cherry on top,Congress banned blw song secretly so that it doesnt hurt Islamic Seperatists https://t.co/dWNdNA9aYl"
11414,"Criticising a bad policy and government is the essence of democracy, Modi did the same before 2014, didn't he? Being anti government doesn't mean you're anti India. Please grow bhakts. change if he cannot change what he promised."
11415,"@ShekharGupta @ncpedp_india Whatâ€™s more sadder is that it was scripted ,like all of Modiâ€™s events/public interactions ."
11416,Never Trust Pakistan... Never! #FinalStrike #DontSparePak @narendramodi @nsitharaman https://t.co/yHRZVCjyrL
11419,"Union Minister Ahluwalia contradicting BJP President @AmitShah's statement on casualties: 
#BJPkaJhoothSabseMazboot https://t.co/ymp17Ojzyx"
11424,"Bajwa Bajwa - Yes PM 
What happened- Bomb, Bomb Bomb,
How is Indiaâ€” Cash less Cash less 
Howâ€™s pak- Jaishless Jaishless 
Shud we fight- No , No, No
Whatâ€™s Modi doing- Ha, Ha, Ha. 
@ImranKhanPTI @pid_gov https://t.co/5gfJ2uCvtO"
11425,"@JaneMayerNYer This entire country is being held together by dubious NDA's.

But the truth is, none of them would hold up in court. Blocking the revelation of illegal activity with money and leverage is called *blackmail*."
11427,"Hey @SalmanNizami_ , Savarkar gave us Hindutva, he was a coward; Godse killed Gandhi and you choose claims of homosexuality as a comeback? Your #homophobia is showing! https://t.co/mzvNJY2LAo"
11428,@PMOIndia @narendramodi attack on pakistan #DeclarePakTerroristState #DestroyPakistan #FinalStrike only attack attack attack final soluation jai hind.
11434,"Agree PM Sir, now time has come to do something big with Pakistan once for all. Pl do not spare them. MAJORITY of Indian support. Punish the pak terrorist and their army as well. Vande Mataram #TerroristNationPakistan,
@narendramodi, #FinalStrike https://t.co/BzbOia8yX2"
11435,"PM Modi has admitted that Indian Air Force is incapable of getting desired results as it lacks strength to achieve the task.
PM's statement growing pressure on its military &amp; Govt as they failed to provide evidence to back up their claims of casualties &amp;proof of shooting down F16 https://t.co/wSmIU6QTLB"
11436,Giving @ Rs 17 per day to few farmers just before Lok Sabha elections is pure hoodwinking. BJP reflects poor in their thinking towards farmers and solving their misery. BJP misused govt power &amp; machinery in a brazen manner and still not hesitating.
11440,"RT if you want the next surgical strike to be on @republic &amp; @TimesNow studios to eliminate the REAL TV Terrorists who are driving this country to war &amp; destruction ... just to get a total failure in @narendramodi  reelected.

Call out the TV Terrorists..
#SayNoToWar https://t.co/SpynHt7cAA"
11442,"@neeratanden @charles_gaba +1. Thank you to all those who tirelessly protested at the @KremlinAnnex day after, who marched every time our norms were attacked, who called Congress - a lot,  who sent post cards, who raised our spirits or scare us into action. The payoff is just beginning. Keep. It. Up!"
11444,"You know the funny thing, all this hai tauba makes it look that calling pappu dyslexic is an insult to dyslexic people. Well, I fully agree with them! He is an insult! ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚

#RHED #à¤®à¥‹à¤¦à¥€_à¤¹à¥ˆ_à¤¤à¥‹_à¤®à¥à¤®à¤•à¤¿à¤¨_à¤¹à¥ˆ #Dyslexia #Dyslexic #RahulGandhiPagalHai https://t.co/DG9lHUebGk"
11445,"If we had Rafale, none of their jets would have been saved: PM Modi

https://t.co/HSaUUurn3Y"
11447,"The Nation today witnessed a monologue by a narcissistic Prime Minister sans any sense of accountability. Prime Minister is obsessed with one word â€“ â€˜Modiâ€™. 

Our reaction to PM Modiâ€™s fake bravado and lies:- https://t.co/4KafnR8hI5"
11448,"And there is this #MamataBanerjee.

This time, after LS, I think she is going to be in coma. #ShockLaga.

Dont know who will gain but Mamata is going to loose big. 
We should be thankful to the ppl around her and their Modi Hate.

#AirforceVsDoubters 
#JaishEMamata"
11449,"The idea of criticism on govt policy Is not hatred. India Is Not Modi 
 Appauld To Twitterians Who Shown The Mirror To Modi is not India 

#NationFirst https://t.co/tLOCJUbcZX"
11450,"The way Indian media promotes war is gonna be a permanent professional shame for them

The way Pakistani media &amp; its handlers, downplaying Indian atrocities in Kashmir/LoC, is nothing but
MODI-APPEASEMENT

Hence the label â€œIndianisation of Pakistani mediaâ€

We donâ€™t c thisðŸ‘‡on TV https://t.co/PaYjvmG2sn"
11451,"Amit Shah - Air strike killed 250 terrorists

How did Amit Shah come to this figure. Modi must answer

Rahul Gandhi - Chowkidar stole 30000 Cr &amp; gave to Anil Ambani 

Wow..Rahul Gandhi has nailed it. Modi must answer

When agenda is hate Modi n BJP, Facts donâ€™t matter to them https://t.co/K5gMaQez5P"
11452,"I want every single member of Congress investigated for failing to secure our southern border to the same extent they are investigating our President.

Start with the House chairs.

#GoldenAdviceOfTheDay"
11453,"Do opposition really believe that questioning/criticizing NaMo and Defence forces on their action against Terrorist and Terroristan will bring any political gain to them??

If they had stood by govt they wud have lost nothing, but now ppl seems very enraged.

#AirforceVsDoubters"
11456,Politics over air strikes - BJP's Vivek Reddy on @LRC_NDTV https://t.co/8UnVT3RSCU
11457,"Intrusion into Pakistan air space a cynical escalation by Modi/BJP to tilt the election in its favour. Although no one was killed or hurt, this attack on our sovereignty shall not go unresponded. It is a massive mistake to test the resolve of PM Imran Khan and our armed forces"
11459,"@Aabhas24 Then they lie from their teeth, shameless CONgress. https://t.co/VT0eiNbhe1"
11460,"#AirForceVsDoubters: Hate for Modi has transformed into hate for India. For the first time in decades, we have bombed Pakistan: Dr. @ARanganathan72, Author &amp; Scientist https://t.co/pCJUrB3NjA"
11463,"TERRORISTS BE WARNED: \It's in my nature to make each one of them pay for every attack\"", booms PM Modi in Ahmedabad Best PM â¦@narendramodiâ© ji till date  https://t.co/9L9IGbNCtE"""
11467,Adoptees are living in the shadows without Citizenship while they wait for Congress to pass the Adoptee Citizen Act. Lives are being destroyed while they wait... Itâ€™s now been 20 years of struggling to survive. We canâ€™t wait any longer. This is just one Adopteeâ€™s story... https://t.co/V4sJcACpAB
11470,BJP's Urine Obsession - From Cow to Human! https://t.co/1pz7sdOTrj via @ThePrintIndia
11471,@sagarikaghose @narendramodi @PMOIndia Same advice u could pass on to pakistan.We cant bully ourselves with useless strategic restraint while our people r dying due to proxy war carried by pakistan.keep ur mouth shut @sagarikaghose.
11472,Just in time to be dragged back to Congress for questioning about his lying to Congress the first time he was there. https://t.co/gdeo3nUi6E
11474,"Delhi BJP Faults AAP Govt for Procuring 1,000 E-Buses

BJP Claims the Infrastructure to Run Battery-Operated Vehicles Not There in the City"
11475,"A Week After Modiâ€™s Feet Washing Photo Op, Two Sanitation Workers Die in His Constituency Varanasi https://t.co/0wdSMoGqxR"
11478,"If congress govt will come in power , congress will provide
Minimum income guarantee for poor,
Solar pumps for irrigation,
Water connection to every house hold.
Loan waivers for farmers.
#AasuchiCongress https://t.co/ta7dyKRR1B"
11480,Hereâ€™s my question. Why is it legal for Congress to issue subpoenas looking for a crime rather than for investigating actually crime? At what point is this considered harassment and abuse of Congressional powers? Winning an election is NOT a crime! #MondayMotivation
